"ativo";"software";"twofa";"metodo_2fa";"quem_recebe_codigo";"tipo_responsavel";"telefone_mascarado";"tipo_telefone";"segundo_admin";"recuperacao_validada";"risco"
"Dropbox InvestSmart";"Dropbox";"Sim";"E-mail";"Bruno Aguiar";"Marketing";"";"Não aplicável";"Sim";"Sim";"Baixo"
"GTM - Planeja Brasil";"Google Tag Manager";"Não aplicável";"Não aplicável";"Não aplicável";"Não aplicável";"";"Não aplicável";"Não aplicável";"Não aplicável";"Médio"
"Meu Novo Lar - Samyr";"Landing Page";"Não aplicável";"Não aplicável";"Não aplicável";"Não aplicável";"";"Não aplicável";"Não aplicável";"Não aplicável";"Médio"
"Planeja Brasil - Orgânico";"Landing Page";"Não aplicável";"Não aplicável";"Não aplicável";"Não aplicável";"";"Não aplicável";"Não aplicável";"Não aplicável";"Alto"
"Planeja Brasil - Samyr";"Landing Page";"Não aplicável";"Não aplicável";"Não aplicável";"Não aplicável";"";"Não aplicável";"Não aplicável";"Não aplicável";"Alto"
"Planeja Brasil - Tráfego Pago";"Landing Page";"Não aplicável";"Não aplicável";"Não aplicável";"Não aplicável";"";"Não aplicável";"Não aplicável";"Não aplicável";"Alto"
"Abertura de Filial";"Lovable";"Não aplicável";"Não aplicável";"A validar";"Não aplicável";"";"Não aplicável";"Não aplicável";"A validar";"Baixo"
"Convite Smart Carreiras - Samyr";"Lovable";"Não aplicável";"Não aplicável";"A validar";"A validar";"";"Não aplicável";"Não aplicável";"Não aplicável";"Crítico"
"Indique um Bancário e Ganhe até 5 Mil";"Lovable";"Não aplicável";"Não aplicável";"A validar";"Não aplicável";"";"Não aplicável";"A validar";"Não aplicável";"Baixo"
"Lovable";"Lovable";"Não aplicável";"Não aplicável";"A validar";"Não aplicável";"";"Não aplicável";"A validar";"Não aplicável";"Crítico"
"Smart Carreiras";"Lovable";"Não aplicável";"Não aplicável";"A validar";"Não aplicável";"";"Não aplicável";"Não aplicável";"Não aplicável";"Crítico"
"Make";"Make";"Não aplicável";"Não aplicável";"A validar";"Não aplicável";"";"A validar";"Não";"Sim";"Crítico"
"Meta Pixel - Planeja Brasil";"Meta Pixel";"Não aplicável";"Não aplicável";"Não aplicável";"Não aplicável";"";"Não aplicável";"Não aplicável";"Não aplicável";"Médio"
"Meta Pixel - Smart Carreiras";"Meta Pixel";"Não aplicável";"Não aplicável";"A validar";"Não aplicável";"";"Não aplicável";"Não aplicável";"Não aplicável";"Baixo"
"Webhook n8n - Planeja Brasil - Orgânico";"n8n";"Não aplicável";"Não aplicável";"Não aplicável";"Não aplicável";"";"Não aplicável";"Não aplicável";"Não aplicável";"Alto"
"Webhook n8n - Planeja Brasil - Samyr";"n8n";"Não aplicável";"Não aplicável";"Não aplicável";"Não aplicável";"";"Não aplicável";"Não aplicável";"Não aplicável";"Médio"
"Webhook n8n - Planeja Brasil - Tráfego Pago";"n8n";"Não aplicável";"Não aplicável";"Não aplicável";"Não aplicável";"";"Não aplicável";"Não aplicável";"Não aplicável";"Alto"
"Claude";"Outro";"Sim";"SMS";"Eduardo Alves";"Marketing";"";"Não aplicável";"A validar";"A validar";"Alto"
"Página de obrigado universal investSmart";"RD STATION";"Não aplicável";"Não aplicável";"A validar";"Não aplicável";"";"Não aplicável";"Não aplicável";"Não aplicável";"Baixo"
"Source - Planeja Brasil - Orgânico";"Source / Identificador";"Não aplicável";"Não aplicável";"Não aplicável";"Não aplicável";"";"Não aplicável";"Não aplicável";"Não aplicável";"Baixo"
"Source - Planeja Brasil - Samyr";"Source / Identificador";"Não aplicável";"Não aplicável";"Não aplicável";"Não aplicável";"";"Não aplicável";"Não aplicável";"Não aplicável";"Baixo"
"Source - Planeja Brasil - Tráfego Pago";"Source / Identificador";"Não aplicável";"Não aplicável";"Não aplicável";"Não aplicável";"";"Não aplicável";"Não aplicável";"Não aplicável";"Baixo"
